Period,Number,Small or Big
20250216100011231,6,Big
20250216100011230,8,Big
20250216100011229,6,Big
20250216100011228,8,Big
20250216100011227,5,Big
20250216100011226,4,Small
20250216100011225,6,Big
20250216100011224,6,Big
20250216100011223,7,Big
20250216100011222,2,Small
20250216100011241,7,Big
20250216100011240,6,Big
20250216100011239,6,Big
20250216100011238,2,Small
20250216100011237,4,Small
20250216100011236,9,Big
20250216100011235,9,Big
20250216100011234,0,Small
20250216100011233,0,Small
20250216100011232,0,Small
20250216100011251,1,Small
20250216100011250,8,Big
20250216100011249,6,Big
20250216100011248,0,Small
20250216100011247,9,Big
20250216100011246,3,Small
20250216100011245,8,Big
20250216100011244,1,Small
20250216100011243,6,Big
20250216100011242,1,Small
20250216100011271,9,Big
20250216100011270,2,Small
20250216100011269,7,Big
20250216100011268,1,Small
20250216100011267,6,Big
20250216100011266,1,Small
20250216100011265,5,Big
20250216100011264,1,Small
20250216100011263,6,Big
20250216100011262,3,Small
20250216100011281,8,Big
20250216100011280,3,Small
20250216100011279,7,Big
20250216100011278,8,Big
20250216100011277,6,Big
20250216100011276,6,Big
20250216100011275,7,Big
20250216100011274,1,Small
20250216100011273,1,Small
20250216100011272,0,Small
20250216100011291,6,Big
20250216100011290,5,Big
20250216100011289,5,Big
20250216100011288,0,Small
20250216100011287,3,Small
20250216100011286,6,Big
20250216100011285,9,Big
20250216100011284,7,Big
20250216100011283,6,Big
20250216100011282,9,Big
20250216100011301,8,Big
20250216100011300,5,Big
20250216100011299,1,Small
20250216100011298,3,Small
20250216100011297,7,Big
20250216100011296,4,Small
20250216100011295,9,Big
20250216100011294,7,Big
20250216100011293,7,Big
20250216100011292,2,Small
20250216100011311,9,Big
20250216100011310,0,Small
20250216100011309,4,Small
20250216100011308,9,Big
20250216100011307,2,Small
20250216100011306,7,Big
20250216100011305,5,Big
20250216100011304,9,Big
20250216100011303,8,Big
20250216100011302,0,Small
20250216100011321,3,Small
20250216100011320,2,Small
20250216100011319,9,Big
20250216100011318,3,Small
20250216100011317,1,Small
20250216100011316,1,Small
20250216100011315,1,Small
20250216100011314,9,Big
20250216100011313,7,Big
20250216100011312,5,Big
20250216100011331,4,Small
20250216100011330,7,Big
20250216100011329,0,Small
20250216100011328,1,Small
20250216100011327,4,Small
20250216100011326,0,Small
20250216100011325,7,Big
20250216100011324,0,Small
20250216100011323,6,Big
20250216100011322,1,Small
20250216100011341,5,Big
20250216100011340,7,Big
20250216100011339,2,Small
20250216100011338,8,Big
20250216100011337,8,Big
20250216100011336,9,Big
20250216100011335,1,Small
20250216100011334,2,Small
20250216100011333,6,Big
20250216100011332,7,Big
20250216100011351,8,Big
20250216100011350,5,Big
20250216100011349,2,Small
20250216100011348,1,Small
20250216100011347,6,Big
20250216100011346,2,Small
20250216100011345,8,Big
20250216100011344,5,Big
20250216100011343,9,Big
20250216100011342,6,Big
20250216100011361,4,Small
20250216100011360,1,Small
20250216100011359,6,Big
20250216100011358,1,Small
20250216100011357,4,Small
20250216100011356,3,Small
20250216100011355,2,Small
20250216100011354,3,Small
20250216100011353,7,Big
20250216100011352,4,Small
20250216100011381,0,Small
20250216100011380,6,Big
20250216100011379,2,Small
20250216100011378,3,Small
20250216100011377,1,Small
20250216100011376,4,Small
20250216100011375,1,Small
20250216100011374,9,Big
20250216100011373,6,Big
20250216100011372,8,Big
20250216100011401,3,Small
20250216100011400,7,Big
20250216100011399,2,Small
20250216100011398,3,Small
20250216100011397,3,Small
20250216100011396,4,Small
20250216100011395,5,Big
20250216100011394,6,Big
20250216100011393,3,Small
20250216100011392,2,Small
20250216100011410,9,Big
20250216100011409,4,Small
20250216100011408,6,Big
20250216100011407,0,Small
20250216100011406,0,Small
20250216100011405,4,Small
20250216100011404,8,Big
20250216100011403,1,Small
20250216100011402,0,Small
20250217100010824,0,Small
20250217100010823,3,Small
20250217100010822,9,Big
20250217100010821,3,Small
20250217100010820,8,Big
20250217100010819,4,Small
20250217100010818,1,Small
20250217100010817,4,Small
20250217100010816,4,Small
20250217100010815,4,Small
20250217100010804,7,Big
20250217100010803,2,Small
20250217100010802,9,Big
20250217100010801,7,Big
20250217100010800,3,Small
20250217100010799,6,Big
20250217100010798,3,Small
20250217100010797,7,Big
20250217100010796,7,Big
20250217100010795,5,Big
20250217100010794,0,Small
20250217100010793,6,Big
20250217100010792,9,Big
20250217100010791,1,Small
20250217100010790,5,Big
20250217100010789,9,Big
20250217100010788,8,Big
20250217100010787,0,Small
20250217100010786,3,Small
20250217100010765,7,Big
20250217100010764,3,Small
20250217100010763,2,Small
20250217100010762,2,Small
20250217100010761,2,Small
20250217100010760,4,Small
20250217100010759,1,Small
20250217100010758,8,Big
20250217100010757,4,Small
20250217100010756,3,Small
20250217100010745,7,Big
20250217100010744,1,Small
20250217100010743,5,Big
20250217100010742,8,Big
20250217100010741,1,Small
20250217100010740,8,Big
20250217100010739,7,Big
20250217100010738,1,Small
20250217100010737,2,Small
20250217100010736,2,Small
20250217100010725,9,Big
20250217100010724,2,Small
20250217100010723,8,Big
20250217100010722,4,Small
20250217100010721,5,Big
20250217100010720,6,Big
20250217100010719,6,Big
20250217100010718,0,Small
20250217100010717,0,Small
20250217100010716,6,Big
20250217100010695,7,Big
20250217100010694,7,Big
20250217100010693,3,Small
20250217100010692,2,Small
20250217100010691,4,Small
20250217100010690,6,Big
20250217100010689,3,Small
20250217100010688,0,Small
20250217100010687,8,Big
20250217100010686,3,Small
20250217100010685,6,Big
20250217100010684,7,Big
20250217100010683,3,Small
20250217100010682,5,Big
20250217100010681,8,Big
20250217100010680,0,Small
20250217100010679,8,Big
20250217100010678,7,Big
20250217100010677,0,Small
20250217100010676,6,Big
20250217100010675,0,Small
20250217100010674,5,Big
20250217100010673,4,Small
20250217100010672,3,Small
20250217100010671,5,Big
20250217100010670,5,Big
20250217100010669,3,Small
20250217100010668,3,Small
20250217100010667,2,Small
20250217100010666,6,Big
20250217100010665,1,Small
20250217100010664,2,Small
20250217100010663,5,Big
20250217100010662,8,Big
20250217100010661,5,Big
20250217100010660,4,Small
20250217100010659,7,Big
20250217100010658,4,Small
20250217100010657,8,Big
20250217100010656,5,Big
20250217100010655,4,Small
20250217100010654,8,Big
20250217100010653,8,Big
20250217100010652,1,Small
20250217100010651,1,Small
20250217100010650,0,Small
20250217100010649,0,Small
20250217100010648,5,Big
20250217100010647,8,Big
20250217100010646,1,Small
20250217100010645,3,Small
20250217100010644,7,Big
20250217100010643,1,Small
20250217100010642,4,Small
20250217100010641,9,Big
20250217100010640,4,Small
20250217100010639,9,Big
20250217100010638,1,Small
20250217100010637,4,Small
20250217100010636,5,Big
20250217100010615,3,Small
20250217100010614,5,Big
20250217100010613,8,Big
20250217100010612,8,Big
20250217100010611,2,Small
20250217100010610,3,Small
20250217100010609,9,Big
20250217100010608,3,Small
20250217100010607,0,Small
20250217100010606,9,Big
20250217100010595,9,Big
20250217100010594,6,Big
20250217100010593,6,Big
20250217100010592,2,Small
20250217100010591,2,Small
20250217100010590,2,Small
20250217100010589,7,Big
20250217100010588,9,Big
20250217100010587,6,Big
20250217100010586,4,Small
20250216100011387,1,Small
20250216100011386,1,Small
20250216100011385,1,Small
20250216100011384,4,Small
20250216100011383,7,Big
20250216100011382,7,Big
20250216100011381,0,Small
20250216100011380,6,Big
20250216100011357,4,Small
20250216100011356,3,Small
20250216100011355,2,Small
20250216100011354,3,Small
20250216100011353,7,Big
20250216100011352,4,Small
20250216100011351,8,Big
20250216100011350,5,Big
20250216100011347,6,Big
20250216100011346,2,Small
20250216100011345,8,Big
20250216100011344,5,Big
20250216100011343,9,Big
20250216100011342,6,Big
20250216100011341,5,Big
20250216100011340,7,Big
20250216100011337,8,Big
20250216100011336,9,Big
20250216100011335,1,Small
20250216100011334,2,Small
20250216100011333,6,Big
20250216100011332,7,Big
20250216100011331,4,Small
20250216100011330,7,Big
20250216100011307,2,Small
20250216100011306,7,Big
20250216100011305,5,Big
20250216100011304,9,Big
20250216100011303,8,Big
20250216100011302,0,Small
20250216100011301,8,Big
20250216100011300,5,Big
20250216100011297,7,Big
20250216100011296,4,Small
20250216100011295,9,Big
20250216100011294,7,Big
20250216100011293,7,Big
20250216100011292,2,Small
20250216100011291,6,Big
20250216100011290,5,Big
20250216100011277,6,Big
20250216100011276,6,Big
20250216100011275,7,Big
20250216100011274,1,Small
20250216100011273,1,Small
20250216100011272,0,Small
20250216100011271,9,Big
20250216100011270,2,Small
20250216100011257,0,Small
20250216100011256,3,Small
20250216100011255,4,Small
20250216100011254,4,Small
20250216100011253,2,Small
20250216100011252,1,Small
20250216100011251,1,Small
20250216100011250,8,Big
20250216100011237,4,Small
20250216100011236,9,Big
20250216100011235,9,Big
20250216100011234,0,Small
20250216100011233,0,Small
20250216100011232,0,Small
20250216100011231,6,Big
20250217100030192,8,Big
20250217100030191,0,Small
20250217100030190,7,Big
20250217100030189,5,Big
20250217100030188,6,Big
20250217100030187,5,Big
20250217100030186,1,Small
20250217100030185,9,Big
20250217100030184,4,Small
20250217100030183,9,Big
20250217100030172,3,Small
20250217100030171,4,Small
20250217100030170,2,Small
20250217100030169,1,Small
20250217100030168,4,Small
20250217100030167,7,Big
20250217100030166,6,Big
20250217100030165,8,Big
20250217100030164,7,Big
20250217100030163,5,Big
20250217100030152,2,Small
20250217100030151,1,Small
20250217100030150,8,Big
20250217100030149,4,Small
20250217100030148,0,Small
20250217100030147,3,Small
20250217100030146,6,Big
20250217100030145,1,Small
20250217100030144,8,Big
20250217100030143,3,Small
20250217100030142,5,Big
20250217100030141,7,Big
20250217100030140,7,Big
20250217100030139,8,Big
20250217100030138,8,Big
20250217100030137,6,Big
20250217100030136,2,Small
20250217100030135,1,Small
20250217100030134,9,Big
20250217100030133,3,Small
20250217100030122,2,Small
20250217100030121,9,Big
20250217100030120,6,Big
20250217100030119,5,Big
20250217100030118,0,Small
20250217100030117,4,Small
20250217100030116,3,Small
20250217100030115,2,Small
20250217100030114,9,Big
20250217100030113,4,Small
20250217100030112,6,Big
20250217100030111,3,Small
20250217100030110,1,Small
20250217100030109,2,Small
20250217100030108,1,Small
20250217100030107,9,Big
20250217100030106,6,Big
20250217100030105,6,Big
20250217100030104,9,Big
20250217100030103,6,Big
20250217100030102,7,Big
20250217100030101,2,Small
20250217100030100,5,Big
20250217100030099,9,Big
20250217100030098,4,Small
20250217100030097,1,Small
20250217100030096,0,Small
20250217100030095,4,Small
20250217100030094,3,Small
20250217100030093,8,Big
20250217100030072,4,Small
20250217100030071,2,Small
20250217100030070,5,Big
20250217100030069,5,Big
20250217100030068,9,Big
20250217100030067,0,Small
20250217100030066,6,Big
20250217100030065,4,Small
20250217100030064,0,Small
20250217100030063,0,Small
20250217100030062,2,Small
20250217100030061,8,Big
20250217100030060,5,Big
20250217100030059,3,Small
20250217100030058,3,Small
20250217100030057,6,Big
20250217100030056,5,Big
20250217100030055,5,Big
20250217100030054,2,Small
20250217100030053,8,Big
20250217100030022,7,Big
20250217100030021,4,Small
20250217100030020,8,Big
20250217100030019,2,Small
20250217100030018,2,Small
20250217100030017,7,Big
20250217100030016,7,Big
20250217100030015,8,Big
20250217100030014,6,Big
20250217100030013,8,Big
20250217100030002,9,Big
20250217100030001,3,Small
20250216100030288,4,Small
20250216100030287,8,Big
20250216100030286,4,Small
20250216100030285,1,Small
20250216100030284,7,Big
20250216100030283,8,Big
20250216100030282,6,Big
20250216100030281,2,Small
20250216100030280,9,Big
20250216100030279,7,Big
20250216100030278,5,Big
20250216100030277,2,Small
20250216100030276,8,Big
20250216100030275,4,Small
20250216100030274,7,Big
20250216100030273,2,Small
20250216100030272,9,Big
20250216100030271,8,Big
20250216100030240,9,Big
20250216100030239,8,Big
20250216100030238,4,Small
20250216100030237,4,Small
20250216100030236,6,Big
20250216100030235,4,Small
20250216100030234,2,Small
20250216100030233,4,Small
20250216100030232,0,Small
20250216100030231,2,Small
20250216100030230,7,Big
20250216100030229,6,Big
20250216100030228,6,Big
20250216100030227,4,Small
20250216100030226,1,Small
20250216100030225,2,Small
20250216100030224,8,Big
20250216100030223,1,Small
20250216100030222,6,Big
20250216100030221,9,Big
20250216100030210,1,Small
20250216100030209,7,Big
20250216100030208,1,Small
20250216100030207,0,Small
20250216100030206,3,Small
20250216100030205,4,Small
20250216100030204,7,Big
20250216100030203,6,Big
20250216100030202,4,Small
20250216100030201,6,Big
20250216100030180,1,Small
20250216100030179,0,Small
20250216100030178,9,Big
20250216100030177,5,Big
20250216100030176,5,Big
20250216100030175,2,Small
20250216100030174,4,Small
20250216100030173,7,Big
20250216100030172,3,Small
20250216100030171,1,Small
20250216100030170,6,Big
20250216100030169,3,Small
20250216100030168,6,Big
20250216100030167,6,Big
20250216100030166,1,Small
20250216100030165,0,Small
20250216100030164,2,Small
20250216100030163,1,Small
20250216100030162,3,Small
20250216100030161,1,Small
20250216100030150,4,Small
20250216100030149,4,Small
20250216100030148,9,Big
20250216100030147,8,Big
20250216100030146,9,Big
20250216100030145,1,Small
20250216100030144,6,Big
20250216100030143,4,Small
20250216100030142,4,Small
20250216100030141,0,Small
20250216100030120,6,Big
20250216100030119,7,Big
20250216100030118,6,Big
20250216100030117,4,Small
20250216100030116,0,Small
20250216100030115,1,Small
20250216100030114,1,Small
20250216100030113,1,Small
20250216100030112,5,Big
20250216100030111,9,Big
20250216100030100,1,Small
20250216100030099,8,Big
20250216100030098,3,Small
20250216100030097,9,Big
20250216100030096,8,Big
20250216100030095,1,Small
20250216100030094,7,Big
20250216100030093,2,Small
20250216100030092,6,Big
20250216100030091,5,Big
20250216100030090,9,Big
20250216100030089,5,Big
20250216100030088,3,Small
20250216100030087,2,Small
20250216100030086,0,Small
20250216100030085,4,Small
20250216100030084,8,Big
20250216100030083,3,Small
20250216100030082,5,Big
20250216100030081,7,Big
20250216100030060,1,Small
20250216100030059,2,Small
20250216100030058,5,Big
20250216100030057,7,Big
20250216100030056,8,Big
20250216100030055,8,Big
20250216100030054,6,Big
20250216100030053,1,Small
20250216100030052,5,Big
20250216100030051,7,Big
20250216100030050,4,Small
20250216100030049,5,Big
20250216100030048,7,Big
20250216100030047,3,Small
20250216100030046,0,Small
20250216100030045,0,Small
20250216100030044,3,Small
20250216100030043,4,Small
20250216100030042,4,Small
20250216100030041,3,Small
20250216100030040,8,Big
20250216100030039,4,Small
20250216100030038,1,Small
20250216100030037,7,Big
20250216100030036,9,Big
20250216100030035,3,Small
20250216100030034,7,Big
20250216100030033,3,Small
20250216100030032,3,Small
20250216100030031,1,Small
20250216100030020,3,Small
20250216100030019,7,Big
20250216100030018,5,Big
20250216100030017,2,Small
20250216100030016,4,Small
20250216100030015,6,Big
20250216100030014,7,Big
20250216100030013,3,Small
20250216100030012,0,Small
20250216100030011,8,Big
20250216100030010,5,Big
20250216100030009,9,Big
20250216100030008,6,Big
20250216100030007,8,Big
20250216100030006,2,Small
20250216100030005,3,Small
20250216100030004,1,Small
20250216100030003,1,Small
20250216100030002,3,Small
20250216100030001,1,Small
20250215100030258,3,Small
20250215100030257,3,Small
20250215100030256,3,Small
20250215100030255,0,Small
20250215100030254,9,Big
20250215100030253,4,Small
20250215100030252,9,Big
20250215100030251,8,Big
20250215100030250,8,Big
20250215100030249,4,Small
20250215100030228,0,Small
20250215100030227,2,Small
20250215100030226,4,Small
20250215100030225,6,Big
20250215100030224,2,Small
20250215100030223,4,Small
20250215100030222,7,Big
20250215100030221,5,Big
20250215100030220,9,Big
20250215100030219,4,Small
20250215100030218,7,Big
20250215100030217,3,Small
20250215100030216,2,Small
20250215100030215,1,Small
20250215100030214,0,Small
20250215100030213,9,Big
20250215100030212,0,Small
20250215100030211,0,Small
20250215100030210,3,Small
20250215100030209,2,Small
20250215100030198,5,Big
20250215100030197,6,Big
20250215100030196,1,Small
20250215100030195,5,Big
20250215100030194,3,Small
20250215100030193,9,Big
20250215100030192,5,Big
20250215100030191,3,Small
20250215100030190,8,Big
20250215100030189,1,Small
20250215100030188,1,Small
20250215100030187,4,Small
20250215100030186,2,Small
20250215100030185,8,Big
20250215100030184,3,Small
20250215100030183,5,Big
20250215100030182,0,Small
20250215100030181,4,Small
20250215100030180,2,Small
20250215100030179,2,Small
20250215100030178,6,Big
20250215100030177,2,Small
20250215100030176,6,Big
20250215100030175,4,Small
20250215100030174,3,Small
20250215100030173,4,Small
20250215100030172,7,Big
20250215100030171,7,Big
20250215100030170,4,Small
20250215100030169,6,Big
20250215100030138,3,Small
20250215100030137,4,Small
20250215100030136,4,Small
20250215100030135,9,Big
20250215100030134,5,Big
20250215100030133,1,Small
20250215100030132,3,Small
20250215100030131,3,Small
20250215100030130,1,Small
20250215100030129,4,Small
20250215100030118,6,Big
20250215100030117,8,Big
20250215100030116,3,Small
20250215100030115,5,Big
20250215100030114,3,Small
20250215100030113,0,Small
20250215100030112,2,Small
20250215100030111,5,Big
20250215100030110,4,Small
20250215100030109,0,Small
20250215100030098,1,Small
20250215100030097,3,Small
20250215100030096,9,Big
20250215100030095,7,Big
20250215100030094,1,Small
20250215100030093,8,Big
20250215100030092,6,Big
20250215100030091,8,Big
20250215100030090,8,Big
20250215100030089,0,Small
20250215100030078,6,Big
20250215100030077,5,Big
20250215100030076,1,Small
20250215100030075,7,Big
20250215100030074,7,Big
20250215100030073,5,Big
20250215100030072,8,Big
20250215100030071,2,Small
20250215100030070,4,Small
20250215100030069,9,Big
20250215100030068,7,Big
20250215100030067,7,Big
20250215100030066,3,Small
20250215100030065,0,Small
20250215100030064,1,Small
20250215100030063,3,Small
20250215100030062,1,Small
20250215100030061,4,Small
20250215100030060,6,Big
20250215100030059,8,Big
20250215100030048,5,Big
20250215100030047,7,Big
20250215100030046,0,Small
20250215100030045,3,Small
20250215100030044,0,Small
20250215100030043,5,Big
20250215100030042,8,Big
20250215100030041,4,Small
20250215100030040,1,Small
20250215100030039,3,Small
20250215100030038,9,Big
20250215100030037,5,Big
20250215100030036,3,Small
20250215100030035,9,Big
20250215100030034,7,Big
20250215100030033,7,Big
20250215100030032,1,Small
20250215100030031,8,Big
20250215100030030,5,Big
20250215100030029,6,Big
20250215100030028,1,Small
20250215100030027,5,Big
20250215100030026,2,Small
20250215100030025,8,Big
20250215100030024,1,Small
20250215100030023,0,Small
20250215100030022,7,Big
20250215100030021,9,Big
20250215100030020,0,Small
20250215100030019,7,Big
20250215100030018,3,Small
20250215100030017,9,Big
20250215100030016,9,Big
20250215100030015,0,Small
20250215100030014,3,Small
20250215100030013,7,Big
20250215100030012,6,Big
20250215100030011,7,Big
20250215100030010,6,Big
20250215100030009,2,Small
20250215100030008,6,Big
20250215100030007,2,Small
20250215100030006,5,Big
20250215100030005,3,Small
20250215100030004,5,Big
20250215100030003,7,Big
20250215100030002,4,Small
20250215100030001,8,Big
20250214100030288,0,Small
20250214100030287,8,Big
20250214100030286,6,Big
20250214100030285,4,Small
20250214100030284,6,Big
20250214100030283,9,Big
20250214100030282,1,Small
20250214100030281,0,Small
20250214100030280,7,Big
20250214100030279,1,Small
20250214100030278,0,Small
20250214100030277,5,Big
20250214100030276,1,Small
20250214100030275,4,Small
20250214100030274,8,Big
20250214100030273,7,Big
20250214100030272,7,Big
20250214100030271,6,Big
20250214100030270,6,Big
20250214100030269,0,Small
20250214100030268,9,Big
20250214100030267,2,Small
20250214100020205,2,Small
20250214100020204,0,Small
20250214100020203,7,Big
20250214100020202,6,Big
20250214100020201,5,Big
20250214100020200,0,Small
20250214100020199,0,Small
20250214100020198,2,Small
20250214100020197,8,Big
20250214100020196,2,Small
20250214100020235,6,Big
20250214100020234,8,Big
20250214100020233,3,Small
20250214100020232,5,Big
20250214100020231,4,Small
20250214100020230,8,Big
20250214100020229,2,Small
20250214100020228,1,Small
20250214100020227,0,Small
20250214100020226,5,Big
20250214100020225,5,Big
20250214100020224,8,Big
20250214100020223,6,Big
20250214100020222,5,Big
20250214100020221,4,Small
20250214100020220,1,Small
20250214100020219,8,Big
20250214100020218,8,Big
20250214100020217,0,Small
20250214100020216,7,Big
20250214100020215,6,Big
20250214100020214,5,Big
20250214100020213,3,Small
20250214100020212,4,Small
20250214100020211,1,Small
20250214100020210,7,Big
20250214100020209,1,Small
20250214100020208,8,Big
20250214100020207,5,Big
20250214100020206,0,Small
20250214100020265,5,Big
20250214100020264,2,Small
20250214100020263,5,Big
20250214100020262,8,Big
20250214100020261,5,Big
20250214100020260,2,Small
20250214100020259,2,Small
20250214100020258,4,Small
20250214100020257,4,Small
20250214100020256,1,Small
20250214100020245,6,Big
20250214100020244,6,Big
20250214100020243,7,Big
20250214100020242,6,Big
20250214100020241,4,Small
20250214100020240,6,Big
20250214100020239,8,Big
20250214100020238,0,Small
20250214100020237,8,Big
20250214100020236,9,Big
20250214100020255,6,Big
20250214100020254,5,Big
20250214100020253,3,Small
20250214100020252,2,Small
20250214100020251,9,Big
20250214100020250,0,Small
20250214100020249,1,Small
20250214100020248,6,Big
20250214100020247,5,Big
20250214100020246,3,Small
20250214100020245,6,Big
20250214100020244,6,Big
20250214100020243,7,Big
20250214100020242,6,Big
20250214100020241,4,Small
20250214100020240,6,Big
20250214100020239,8,Big
20250214100020238,0,Small
20250214100020237,8,Big
20250214100020236,9,Big
20250214100020235,6,Big
20250214100020234,8,Big
20250214100020233,3,Small
20250214100020232,5,Big
20250214100020231,4,Small
20250214100020230,8,Big
20250214100020229,2,Small
20250214100020228,1,Small
20250214100020227,0,Small
20250214100020226,5,Big
20250214100020305,4,Small
20250214100020304,2,Small
20250214100020303,1,Small
20250214100020302,4,Small
20250214100020301,4,Small
20250214100020300,7,Big
20250214100020299,9,Big
20250214100020298,3,Small
20250214100020297,3,Small
20250214100020296,5,Big
20250214100020295,4,Small
20250214100020294,1,Small
20250214100020293,5,Big
20250214100020292,3,Small
20250214100020291,9,Big
20250214100020290,3,Small
20250214100020289,6,Big
20250214100020288,1,Small
20250214100020287,0,Small
20250214100020286,7,Big
20250214100020285,9,Big
20250214100020284,7,Big
20250214100020283,9,Big
20250214100020282,4,Small
20250214100020281,9,Big
20250214100020280,8,Big
20250214100020279,0,Small
20250214100020278,4,Small
20250214100020277,8,Big
20250214100020276,3,Small
20250214100020275,1,Small
20250214100020274,9,Big
20250214100020273,5,Big
20250214100020272,7,Big
20250214100020271,3,Small
20250214100020270,7,Big
20250214100020269,1,Small
20250214100020268,5,Big
20250214100020267,7,Big
20250214100020266,0,Small
20250214100020325,0,Small
20250214100020324,6,Big
20250214100020323,1,Small
20250214100020322,3,Small
20250214100020321,3,Small
20250214100020320,1,Small
20250214100020319,8,Big
20250214100020318,8,Big
20250214100020317,8,Big
20250214100020316,0,Small
20250214100020315,0,Small
20250214100020314,7,Big
20250214100020313,4,Small
20250214100020312,2,Small
