Period,Number,Small or Big
20250214100020311,2,Small
20250214100020310,6,Big
20250214100020309,8,Big
20250214100020308,8,Big
20250214100020307,5,Big
20250214100020306,7,Big
20250214100020365,8,Big
20250214100020364,2,Small
20250214100020363,6,Big
20250214100020362,4,Small
20250214100020361,5,Big
20250214100020360,5,Big
20250214100020359,9,Big
20250214100020358,0,Small
20250214100020357,2,Small
20250214100020356,7,Big
20250214100020335,8,Big
20250214100020334,3,Small
20250214100020333,5,Big
20250214100020332,4,Small
20250214100020331,6,Big
20250214100020330,4,Small
20250214100020329,8,Big
20250214100020328,8,Big
20250214100020327,0,Small
20250214100020326,2,Small
20250214100020455,1,Small
20250214100020454,6,Big
20250214100020453,3,Small
20250214100020452,6,Big
20250214100020451,9,Big
20250214100020450,4,Small
20250214100020449,2,Small
20250214100020448,8,Big
20250214100020447,7,Big
20250214100020446,7,Big
20250214100020435,5,Big
20250214100020434,5,Big
20250214100020433,9,Big
20250214100020432,0,Small
20250214100020431,2,Small
20250214100020430,4,Small
20250214100020429,9,Big
20250214100020428,5,Big
20250214100020427,9,Big
20250214100020426,2,Small
20250214100020405,0,Small
20250214100020404,2,Small
20250214100020403,4,Small
20250214100020402,8,Big
20250214100020401,8,Big
20250214100020400,4,Small
20250214100020399,2,Small
20250214100020398,7,Big
20250214100020397,5,Big
20250214100020396,4,Small
20250214100020455,1,Small
20250214100020454,6,Big
20250214100020453,3,Small
20250214100020452,6,Big
20250214100020451,9,Big
20250214100020450,4,Small
20250214100020449,2,Small
20250214100020448,8,Big
20250214100020447,7,Big
20250214100020446,7,Big
20250214100020435,5,Big
20250214100020434,5,Big
20250214100020433,9,Big
20250214100020432,0,Small
20250214100020431,2,Small
20250214100020430,4,Small
20250214100020429,9,Big
20250214100020428,5,Big
20250214100020427,9,Big
20250214100020426,2,Small
20250214100020405,0,Small
20250214100020404,2,Small
20250214100020403,4,Small
20250214100020402,8,Big
20250214100020401,8,Big
20250214100020400,4,Small
20250214100020399,2,Small
20250214100020398,7,Big
20250214100020397,5,Big
20250214100020396,4,Small
20250214100030236,8,Big
20250214100030235,9,Big
20250214100030234,9,Big
20250214100030233,6,Big
20250214100030232,0,Small
20250214100030231,7,Big
20250214100030230,6,Big
20250214100030229,3,Small
20250214100030228,2,Small
20250214100030227,6,Big
20250214100030216,7,Big
20250214100030215,2,Small
20250214100030214,1,Small
20250214100030213,1,Small
20250214100030212,7,Big
20250214100030211,2,Small
20250214100030210,8,Big
20250214100030209,6,Big
20250214100030208,7,Big
20250214100030207,5,Big
20250214100030206,8,Big
20250214100030205,4,Small
20250214100030204,8,Big
20250214100030203,6,Big
20250214100030202,8,Big
20250214100030201,0,Small
20250214100030200,3,Small
20250214100030199,5,Big
20250214100030198,1,Small
20250214100030197,6,Big
20250214100030196,3,Small
20250214100030195,3,Small
20250214100030194,8,Big
20250214100030193,0,Small
20250214100030192,2,Small
20250214100030191,7,Big
20250214100030190,9,Big
20250214100030189,3,Small
20250214100030188,8,Big
20250214100030187,4,Small
20250214100030176,9,Big
20250214100030175,7,Big
20250214100030174,2,Small
20250214100030173,9,Big
20250214100030172,0,Small
20250214100030171,2,Small
20250214100030170,0,Small
20250214100030169,8,Big
20250214100030168,5,Big
20250214100030167,9,Big
20250214100030166,5,Big
20250214100030165,8,Big
20250214100030164,6,Big
20250214100030163,6,Big
20250214100030162,1,Small
20250214100030161,9,Big
20250214100030160,5,Big
20250214100030159,9,Big
20250214100030158,9,Big
20250214100030157,1,Small
20250214100030156,2,Small
20250214100030155,3,Small
20250214100030154,2,Small
20250214100030153,2,Small
20250214100030152,8,Big
20250214100030151,8,Big
20250214100030150,6,Big
20250214100030149,6,Big
20250214100030148,5,Big
20250214100030147,7,Big
20250214100030136,1,Small
20250214100030135,5,Big
20250214100030134,0,Small
20250214100030133,2,Small
20250214100030132,6,Big
20250214100030131,4,Small
20250214100030130,8,Big
20250214100030129,0,Small
20250214100030128,9,Big
20250214100030127,6,Big
20250214100030126,3,Small
20250214100030125,3,Small
20250214100030124,1,Small
20250214100030123,1,Small
20250214100030122,6,Big
20250214100030121,1,Small
20250214100030120,4,Small
20250214100030119,8,Big
20250214100030118,6,Big
20250214100030117,2,Small
20250214100030106,1,Small
20250214100030105,3,Small
20250214100030104,5,Big
20250214100030103,4,Small
20250214100030102,4,Small
20250214100030101,3,Small
20250214100030100,3,Small
20250214100030099,0,Small
20250214100030098,8,Big
20250214100030097,6,Big
20250214100030036,3,Small
20250214100030035,1,Small
20250214100030034,9,Big
20250214100030033,2,Small
20250214100030032,6,Big
20250214100030031,1,Small
20250214100030030,6,Big
20250214100030029,6,Big
20250214100030028,7,Big
20250214100030027,9,Big
20250214100030026,6,Big
20250214100030025,8,Big
20250214100030024,7,Big
20250214100030023,0,Small
20250214100030022,6,Big
20250214100030021,0,Small
20250214100030020,6,Big
20250214100030019,5,Big
20250214100030018,7,Big
20250214100030017,3,Small
20250214100030006,3,Small
20250214100030005,3,Small
20250214100030004,5,Big
20250214100030003,1,Small
20250214100030002,9,Big
20250214100030001,0,Small
20250213100030288,9,Big
20250213100030287,3,Small
20250213100030286,4,Small
20250213100030285,6,Big
20250213100030254,3,Small
20250213100030253,3,Small
20250213100030252,5,Big
20250213100030251,4,Small
20250213100030250,6,Big
20250213100030249,6,Big
20250213100030248,2,Small
20250213100030247,0,Small
20250213100030246,5,Big
20250213100030245,0,Small
20250213100030234,0,Small
20250213100030233,6,Big
20250213100030232,8,Big
20250213100030231,3,Small
20250213100030230,5,Big
20250213100030229,5,Big
20250213100030228,7,Big
20250213100030227,7,Big
20250213100030226,7,Big
20250213100030225,6,Big
20250213100030204,4,Small
20250213100030203,0,Small
20250213100030202,0,Small
20250213100030201,9,Big
20250213100030200,8,Big
20250213100030199,9,Big
20250213100030198,5,Big
20250213100030197,9,Big
20250213100030196,8,Big
20250213100030195,6,Big
20250213100030194,8,Big
20250213100030193,8,Big
20250213100030192,2,Small
20250213100030190,8,Big
20250213100030189,2,Big
20250213100030188,6,Big
20250213100030187,7,Big
20250213100030186,2,Small
20250213100030185,4,Small
20250213100030184,5,Big
20250213100030183,7,Big
20250213100030182,1,Small
20250213100030181,3,Small
20250213100030180,5,Big
20250213100030179,7,Big
20250213100030178,5,Big
20250213100030177,6,Big
20250213100030176,0,Small
20250213100030175,9,Big
20250213100030164,8,Big
20250213100030163,5,Big
20250213100030162,3,Small
20250213100030161,7,Big
20250213100030160,3,Small
20250213100030159,0,Small
20250213100030158,4,Small
20250213100030157,5,Big
20250213100030156,5,Big
20250213100030155,3,Small
20250213100030114,5,Big
20250213100030113,4,Small
20250213100030112,3,Small
20250213100030111,7,Big
20250213100030110,2,Small
20250213100030109,5,Big
20250213100030108,0,Small
20250213100030107,4,Small
20250213100030106,9,Big
20250213100030105,9,Big
20250213100030104,8,Big
20250213100030103,9,Big
20250213100030102,0,Small
20250213100030101,3,Small
20250213100030100,0,Small
20250213100030099,6,Big
20250213100030098,4,Small
20250213100030097,8,Big
20250213100030096,0,Small
20250213100030095,5,Big
20250213100030094,4,Small
20250213100030093,7,Big
20250213100030092,2,Small
20250213100030091,8,Big
20250213100030090,8,Big
20250213100030089,9,Big
20250213100030088,9,Big
20250213100030087,8,Big
20250213100030086,8,Big
20250213100030085,4,Small
20250213100030064,8,Big
20250213100030063,4,Small
20250213100030062,9,Big
20250213100030061,9,Big
20250213100030060,5,Big
20250213100030059,5,Big
20250213100030058,6,Big
20250213100030057,3,Small
20250213100030056,3,Small
20250213100030055,0,Small
20250213100030054,5,Big
20250213100030053,7,Big
20250213100030052,1,Small
20250213100030051,7,Big
20250213100030050,9,Big
20250213100030049,6,Big
20250213100030048,0,Small
20250213100030047,5,Big
20250213100030046,7,Big
20250213100030045,3,Small
20250213100030034,8,Big
20250213100030033,5,Big
20250213100030032,9,Big
20250213100030031,5,Big
20250213100030030,2,Small
20250213100030029,1,Small
20250213100030028,9,Big
20250213100030027,3,Small
20250213100030026,4,Small
20250213100030025,2,Small
20250213100030024,7,Big
20250213100030023,1,Small
20250213100030022,1,Small
20250213100030021,7,Big
20250213100030020,3,Small
20250213100030019,0,Small
20250213100030018,8,Big
20250213100030017,6,Big
20250213100030016,5,Big
20250213100030015,6,Big
20250213100030014,2,Small
20250213100030013,6,Big
20250213100030012,7,Big
20250213100030011,0,Small
20250213100030010,1,Small
20250213100030009,7,Big
20250213100030008,6,Big
20250213100030007,4,Small
20250213100030006,9,Big
20250213100030005,7,Big
20250213100030004,8,Big
20250213100030003,4,Small
20250213100030002,0,Small
20250213100030001,7,Big
20250212100030288,6,Big
20250212100030287,6,Big
20250212100030286,0,Small
20250212100030285,6,Big
20250212100030284,5,Big
20250212100030283,2,Small
20250212100030282,1,Small
20250212100030281,5,Big
20250212100030280,4,Small
20250212100030279,7,Big
20250212100030278,6,Big
20250212100030277,6,Big
20250212100030276,5,Big
20250212100030275,0,Small
20250212100030274,9,Big
20250212100030273,8,Big
20250212100030272,2,Small
20250212100030271,0,Small
20250212100030270,7,Big
20250212100030269,0,Small
20250212100030268,4,Small
20250212100030267,3,Small
20250212100030266,9,Big
20250212100030265,5,Big
20250212100030264,7,Big
20250212100030263,9,Big
20250212100030252,0,Small
20250212100030251,0,Small
20250212100030250,0,Big
20250212100030249,0,Big
20250212100030248,0,Big
20250212100030247,8,Big
20250212100030246,2,Small
20250212100030245,6,Big
20250212100030244,5,Big
20250212100030243,2,Small
20250212100030232,8,Big
20250212100030231,1,Small
20250212100030230,5,Big
20250212100030229,0,Small
20250212100030228,8,Big
20250212100030227,6,Big
20250212100030226,5,Big
20250212100030225,5,Big
20250212100030224,7,Big
20250212100030223,6,Big
20250212100030192,5,Big
20250212100030191,5,Big
20250212100030190,3,Small
20250212100030189,6,Big
20250212100030188,0,Small
20250212100030187,8,Big
20250212100030186,3,Small
20250212100030185,8,Big
20250212100030184,8,Big
20250212100030183,1,Small
20250212100030182,4,Small
20250212100030181,1,Small
20250212100030180,6,Big
20250212100030179,3,Small
20250212100030178,8,Big
20250212100030177,7,Big
20250212100030176,1,Small
20250212100030175,9,Big
20250212100030174,5,Big
20250212100030173,2,Small
20250212100030152,6,Big
20250212100030151,1,Small
20250212100030150,7,Big
20250212100030149,4,Small
20250212100030148,4,Small
20250212100030147,2,Small
20250212100030146,1,Small
20250212100030145,8,Big
20250212100030144,3,Small
20250212100030143,7,Big
20250212100030112,8,Big
20250212100030111,7,Big
20250212100030110,9,Big
20250212100030109,6,Big
20250212100030108,3,Small
20250212100030107,1,Small
20250212100030106,3,Small
20250212100030105,9,Big
20250212100030104,0,Small
20250212100030103,5,Big
20250212100030102,5,Big
20250212100030101,2,Small
20250212100030100,3,Small
20250212100030099,6,Big
20250212100030098,1,Small
20250212100030097,6,Big
20250212100030096,9,Big
20250212100030095,3,Small
20250212100030094,5,Big
20250212100030093,3,Small
20250212100030042,2,Small
20250212100030041,3,Small
20250212100030040,7,Big
20250212100030039,2,Small
20250212100030038,2,Small
20250212100030037,0,Small
20250212100030036,0,Small
20250212100030035,1,Small
20250212100030034,7,Big
20250212100030033,9,Big
20250212100030032,1,Small
20250212100030031,2,Small
20250212100030030,5,Big
20250212100030029,5,Big
20250212100030028,9,Big
20250212100030027,0,Small
20250212100030026,4,Small
20250212100030025,6,Big
20250212100030024,0,Small
20250212100030023,5,Big
20250212100030022,8,Big
20250212100030021,5,Big
20250212100030020,8,Big
20250212100030019,3,Small
20250212100030018,9,Big
20250212100030017,3,Small
20250212100030016,4,Small
20250212100030015,7,Big
20250212100030014,7,Big
20250212100030013,3,Small
20250212100030002,9,Big
20250212100030001,7,Big
20250211100030288,8,Big
20250211100030287,5,Big
20250211100030286,4,Small
20250211100030285,1,Small
20250211100030284,5,Big
20250211100030283,5,Big
20250211100030282,4,Small
20250211100030281,1,Small
20250211100030280,2,Small
20250211100030279,0,Small
20250211100030278,7,Big
20250211100030277,9,Big
20250211100030276,0,Small
20250211100030275,7,Big
20250211100030274,4,Small
20250211100030273,0,Small
20250211100030272,3,Small
20250211100030271,8,Big
20250211100030260,7,Big
20250211100030259,0,Small
20250211100030258,2,Small
20250211100030257,4,Small
20250211100030256,1,Small
20250211100030255,9,Big
20250211100030254,1,Small
20250211100030253,5,Big
20250211100030252,3,Small
20250211100030251,1,Small
20250211100030250,6,Big
20250211100030249,9,Big
20250211100030248,3,Small
20250211100030247,8,Big
20250211100030246,6,Big
20250211100030245,6,Big
20250211100030244,3,Small
20250211100030243,0,Small
20250211100030242,2,Small
20250211100030241,4,Small
20250211100030240,3,Small
20250211100030239,9,Big
20250211100030238,9,Big
20250211100030237,9,Big
20250211100030236,9,Big
20250211100030235,4,Small
20250211100030234,3,Small
20250211100030233,0,Small
20250211100030232,8,Big
20250211100030231,1,Small
20250211100030220,6,Big
20250211100030219,1,Small
20250211100030218,3,Small
20250211100030217,1,Small
20250211100030216,2,Small
20250211100030215,4,Small
20250211100030214,6,Big
20250211100030213,6,Big
20250211100030212,8,Big
20250211100030211,7,Big
20250211100030210,5,Big
20250211100030209,7,Big
20250211100030208,9,Big
20250211100030207,9,Big
20250211100030206,7,Big
20250211100030205,1,Small
20250211100030204,4,Small
20250211100030203,5,Big
20250211100030202,7,Big
20250211100030201,4,Small
20250211100030200,8,Big
20250211100030199,1,Small
20250211100030198,2,Small
20250211100030197,3,Small
20250211100030196,7,Big
20250211100030195,9,Big
20250211100030194,2,Small
20250211100030193,0,Small
20250211100030192,3,Small
20250211100030191,2,Small
20250211100030180,5,Big
20250211100030179,3,Small
20250211100030178,1,Small
20250211100030177,0,Small
20250211100030176,9,Big
20250211100030175,7,Big
20250211100030174,3,Small
20250211100030173,8,Big
20250211100030172,5,Big
20250211100030171,7,Big
20250211100030170,1,Small
20250211100030169,1,Small
20250211100030168,4,Small
20250211100030167,8,Big
20250211100030166,6,Big
20250211100030165,7,Big
20250211100030164,1,Small
20250211100030163,1,Small
20250211100030162,0,Small
20250211100030161,5,Big
20250211100030140,0,Small
20250211100030139,1,Small
20250211100030138,7,Big
20250211100030137,4,Small
20250211100030136,6,Big
20250211100030135,2,Small
20250211100030134,7,Big
20250211100030133,4,Small
20250211100030132,7,Big
20250211100030131,5,Big
20250211100030130,2,Small
20250211100030129,4,Small
20250211100030128,9,Big
20250211100030127,5,Big
20250211100030126,2,Small
20250211100030125,6,Big
20250211100030124,2,Small
20250211100030123,0,Small
20250211100030122,0,Small
20250211100030121,1,Small
20250211100030120,5,Big
20250211100030119,2,Small
20250211100030118,6,Big
20250211100030117,6,Big
20250211100030116,4,Small
20250211100030115,1,Small
20250211100030114,2,Small
20250211100030113,1,Small
20250211100030112,5,Big
20250211100030111,3,Small
20250211100030110,8,Big
20250211100030109,5,Big
20250211100030108,5,Big
20250211100030107,5,Big
20250211100030106,9,Big
20250211100030105,0,Small
20250211100030104,2,Small
20250211100030103,3,Small
20250211100030102,4,Small
20250211100030101,8,Big
20250211100030080,8,Big
20250211100030079,3,Small
20250211100030078,8,Big
20250211100030077,9,Big
20250211100030076,5,Big
20250211100030075,0,Small
20250211100030074,3,Small
20250211100030073,0,Small
20250211100030072,9,Big
20250211100030071,8,Big
20250211100030070,7,Big
20250211100030069,0,Small
20250211100030068,7,Big
20250211100030067,2,Small
20250211100030066,3,Small
20250211100030065,0,Small
20250211100030064,4,Small
20250211100030063,6,Big
20250211100030062,2,Small
20250211100030061,9,Big
20250211100030050,5,Big
20250211100030049,8,Big
20250211100030048,1,Small
20250211100030047,4,Small
20250211100030046,8,Big
20250211100030045,4,Small
20250211100030044,4,Small
20250211100030043,0,Small
20250211100030042,9,Big
20250211100030041,8,Big
20250211100030040,5,Big
20250211100030039,5,Big
20250211100030038,7,Big
20250211100030037,6,Big
20250211100030036,2,Small
20250211100030035,4,Small
20250211100030034,5,Big
20250211100030033,7,Big
20250211100030032,6,Big
20250211100030031,1,Small
20250210100030278,2,Small
20250210100030277,6,Big
20250210100030276,6,Big
20250210100030275,0,Small
20250210100030274,2,Small
20250210100030273,4,Small
20250210100030272,0,Small
20250210100030271,3,Small
20250210100030270,9,Big
20250210100030269,9,Big
20250210100030258,1,Small
20250210100030257,2,Small
20250210100030256,3,Small
20250210100030255,5,Big
20250210100030254,0,Small
20250210100030253,9,Big
20250210100030252,6,Big
20250210100030251,9,Big
20250210100030250,6,Big
20250210100030249,5,Big
20250210100030188,5,Big
20250210100030187,4,Small
20250210100030186,9,Big
20250210100030185,5,Big
20250210100030184,2,Small
20250210100030183,6,Big
20250210100030182,1,Small
20250210100030181,4,Small
20250210100030180,8,Big
20250210100030179,9,Big
20250210100030178,6,Big
20250210100030177,7,Big
20250210100030176,5,Big
20250210100030175,7,Big
20250210100030174,8,Big
20250210100030173,5,Big
20250210100030172,2,Small
20250210100030171,2,Small
20250210100030170,0,Small
20250210100030169,3,Small
20250210100030158,8,Big
20250210100030157,5,Big
20250210100030156,6,Big
20250210100030155,1,Small
20250210100030154,4,Small
20250210100030153,3,Small
20250210100030152,1,Small
20250210100030151,0,Small
20250210100030150,0,Small
20250210100030149,6,Big
20250210100030148,5,Big
20250210100030147,2,Small
20250210100030146,4,Small
20250210100030145,7,Big
20250210100030144,7,Big
20250210100030143,6,Big
20250210100030142,0,Small
20250210100030141,2,Small
20250210100030140,1,Small
20250210100030139,5,Big
20250210100030108,6,Big
20250210100030107,9,Big
20250210100030106,6,Big
20250210100030105,4,Small
20250210100030104,0,Small
20250210100030103,8,Big
20250210100030102,4,Small
20250210100030101,9,Big
20250210100030100,9,Big
20250210100030099,8,Big
20250210100030098,4,Small
20250210100030097,7,Big
20250210100030096,5,Big
20250210100030095,6,Big
20250210100030094,1,Small
20250210100030093,8,Big
20250210100030092,5,Big
20250210100030091,6,Big
20250210100030090,8,Big
20250210100030089,5,Big
20250210100030078,4,Small
20250210100030077,1,Small
20250210100030076,7,Big
20250210100030075,7,Big
20250210100030074,5,Big
20250210100030073,6,Big
20250210100030072,2,Small
20250210100030071,9,Big
20250210100030070,8,Big
20250210100030069,3,Small
20250210100030068,5,Big
20250210100030067,8,Big
20250210100030066,9,Big
20250210100030065,3,Small
20250210100030064,9,Big
20250210100030063,3,Small
20250210100030062,9,Big
20250210100030061,6,Big
20250210100030060,7,Big
20250210100030059,7,Big
20250210100030048,2,Small
20250210100030047,9,Big
20250210100030046,2,Small
20250210100030045,3,Small
20250210100030044,5,Big
20250210100030043,6,Big
20250210100030042,4,Small
20250210100030041,0,Small
20250210100030040,2,Small
20250210100030039,8,Big
20250210100030038,9,Big
20250210100030037,8,Big
20250210100030036,1,Small
20250210100030035,2,Small
20250210100030034,5,Big
20250210100030033,6,Big
20250210100030032,3,Small
20250210100030031,6,Big
20250210100030030,5,Big
20250210100030029,2,Small
20250209100030286,9,Big
20250209100030285,8,Big
20250209100030284,0,Small
20250209100030283,6,Big
20250209100030282,2,Small
20250209100030281,7,Big
20250209100030280,8,Big
20250209100030279,2,Small
20250209100030278,2,Small
20250209100030277,3,Small
20250209100030276,9,Big
20250209100030275,0,Small
20250209100030274,2,Small
20250209100030273,1,Small
20250209100030272,2,Small
20250209100030271,6,Big
20250209100030270,2,Small
20250209100030269,8,Big
20250209100030268,2,Small
20250209100030267,2,Small
20250209100030266,7,Big
20250209100030265,9,Big
20250209100030264,1,Small
20250209100030263,9,Big
20250209100030262,5,Big
20250209100030261,4,Small
20250209100030260,1,Small
20250209100030259,5,Big
20250209100030258,5,Big
20250209100030257,1,Small
20250209100030246,9,Big
20250209100030245,5,Big
20250209100030244,3,Small
20250209100030243,8,Big
20250209100030242,9,Big
20250209100030241,1,Small
20250209100030240,2,Small
20250209100030239,5,Big
20250209100030238,6,Big
20250209100030237,0,Small
20250209100030236,2,Small
20250209100030235,7,Big
20250209100030234,5,Big
20250209100030233,5,Big
20250209100030232,8,Big
20250209100030231,3,Small
20250209100030230,8,Big
20250209100030229,0,Small
20250209100030228,9,Big
20250209100030227,5,Big
20250209100030226,2,Small
20250209100030225,8,Big
20250209100030224,4,Small
20250209100030223,8,Big
20250209100030222,4,Small
20250209100030221,1,Small
20250209100030220,0,Small
20250209100030219,2,Small
20250209100030218,1,Small
20250209100030217,6,Big
20250209100030206,3,Small
20250209100030205,5,Big
20250209100030204,9,Big
20250209100030203,1,Small
20250209100030202,0,Small
20250209100030201,8,Big
20250209100030200,9,Big
20250209100030199,5,Big
20250209100030198,2,Small
20250209100030197,2,Small
20250209100030196,9,Big
20250209100030195,9,Big
20250209100030194,5,Big
20250209100030193,6,Big
20250209100030192,6,Big
20250209100030191,6,Big
20250209100030190,6,Big
20250209100030189,4,Small
20250209100030188,2,Small
20250209100030187,2,Small
20250209100030186,5,Big
20250209100030185,8,Big
20250209100030184,7,Big
20250209100030183,4,Small
20250209100030182,2,Small
20250209100030181,0,Small
20250209100030180,8,Big
20250209100030179,8,Big
20250209100030178,9,Big
20250209100030177,2,Small
20250209100030176,7,Big
20250209100030175,4,Small
20250209100030174,8,Big
20250209100030173,7,Big
20250209100030172,8,Big
20250209100030171,9,Big
20250209100030170,2,Small
20250209100030169,1,Small
20250209100030168,2,Small
20250209100030167,0,Small
20250209100030146,4,Small
20250209100030145,1,Small
20250209100030144,6,Big
20250209100030143,3,Small
20250209100030142,5,Big
20250209100030141,4,Small
20250209100030140,4,Small
20250209100030139,3,Small
20250209100030138,9,Big
20250209100030137,2,Small
20250209100030126,2,Small
20250209100030125,8,Big
20250209100030124,4,Small
20250209100030123,7,Big
20250209100030122,2,Small
20250209100030121,0,Small
20250209100030120,3,Small
20250209100030119,2,Small
20250209100030118,1,Small
20250209100030117,4,Small
20250209100030116,1,Small
20250209100030115,4,Small
20250209100030114,1,Small
20250209100030113,7,Big
20250209100030112,7,Big
20250209100030111,0,Small
20250209100030110,3,Small
20250209100030109,2,Small
20250209100030108,1,Small
20250209100030107,8,Big
20250209100030096,0,Small
20250209100030095,2,Small
20250209100030094,2,Small
20250209100030093,7,Big
20250209100030092,1,Small
20250209100030091,0,Small
20250209100030090,4,Small
20250209100030089,1,Small
20250209100030088,6,Big
20250209100030087,8,Big
20250209100030076,0,Small
20250209100030075,9,Big
20250209100030074,1,Small
20250209100030073,1,Small
20250209100030072,0,Small
20250209100030071,5,Big
20250209100030070,4,Small
20250209100030069,2,Small
20250209100030068,7,Big
20250209100030067,8,Big
20250209100030046,0,Small
20250209100030045,8,Big
20250209100030044,7,Big
20250209100030043,3,Small
20250209100030042,0,Small
20250209100030041,6,Big
20250209100030040,2,Small
20250209100030039,0,Small
20250209100030038,7,Big
20250209100030037,9,Big
20250209100030016,8,Big
20250209100030015,5,Big
20250209100030014,3,Small
20250209100030013,8,Big
20250209100030012,2,Small
20250209100030011,9,Big
20250209100030010,3,Small
20250209100030009,9,Big
20250209100030008,3,Small
20250209100030007,7,Big
20250208100030284,9,Big
20250208100030283,2,Small
20250208100030282,8,Big
